model,task,horizon_months,split,bin,bin_left,bin_right,rows,mean_pred_probability,observed_bloom_rate
constant,classification_and_risk,2,train,0,0.0,0.1,0,,
constant,classification_and_risk,2,train,1,0.1,0.2,1294854,0.15914458309585486,0.15914458309585483
constant,classification_and_risk,2,train,2,0.2,0.3,0,,
constant,classification_and_risk,2,train,3,0.3,0.4,0,,
constant,classification_and_risk,2,train,4,0.4,0.5,0,,
constant,classification_and_risk,2,train,5,0.5,0.6,0,,
constant,classification_and_risk,2,train,6,0.6,0.7,0,,
constant,classification_and_risk,2,train,7,0.7,0.8,0,,
constant,classification_and_risk,2,train,8,0.8,0.9,0,,
constant,classification_and_risk,2,train,9,0.9,1.0,0,,
