cell_id,hypothesis_id,multiplicity_family,universe_size,comparison_id,horizon_months,endpoint,estimand,availability_state,availability_reason,status,attempted_denominator,successful_denominator,raw_p_value,holm_p_value,holm_universe_retained,evidence_paths
H4_M0_vs_P1_mcar_10:h3:bloom_h,H4_M0_vs_P1_mcar_10,B,78,M0_vs_P1_mcar_10,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_10:h3:irc_alert_h,H4_M0_vs_P1_mcar_10,B,78,M0_vs_P1_mcar_10,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h1:bloom_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h1:irc_alert_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h2:bloom_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h2:irc_alert_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h3:bloom_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_25:h3:irc_alert_h,H4_M0_vs_P1_mcar_25,B,78,M0_vs_P1_mcar_25,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h1:bloom_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h1:irc_alert_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h2:bloom_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h2:irc_alert_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h3:bloom_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_50:h3:irc_alert_h,H4_M0_vs_P1_mcar_50,B,78,M0_vs_P1_mcar_50,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h1:bloom_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h1:irc_alert_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h2:bloom_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h2:irc_alert_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h3:bloom_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_1m_10:h3:irc_alert_h,H4_M0_vs_P1_block_1m_10,B,78,M0_vs_P1_block_1m_10,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h1:bloom_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h1:irc_alert_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h2:bloom_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h2:irc_alert_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h3:bloom_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_3m_10:h3:irc_alert_h,H4_M0_vs_P1_block_3m_10,B,78,M0_vs_P1_block_3m_10,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_6m_25:h1:bloom_h,H4_M0_vs_P1_block_6m_25,B,78,M0_vs_P1_block_6m_25,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_block_6m_25:h1:irc_alert_h,H4_M0_vs_P1_block_6m_25,B,78,M0_vs_P1_block_6m_25,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
