degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,backtest_version,target_event,group_type,group_value,source_id,split,rollout_horizon_months,rows,threshold,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,pr_auc,roc_auc,brier
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,overall,all,all,test,1,11852,0.3,1473,0.12428282146473169,1327,0.11196422544718192,9948,431,577,896,0.6752072343632253,0.6082824168363883,0.9584738414105405,0.7958897818599311,0.6736905831849537,0.9296769869338362,0.07105082827495536
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,aquamatch_chla,aquamatch_chla,test,1,7154,0.3,621,0.08680458484763769,578,0.08079396142018451,6346,187,230,391,0.6764705882352942,0.6296296296296297,0.9713760906168682,0.8101999842088765,0.7070817075942829,0.9367997430609323,0.05178177294816787
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,lakebed_us_cse,lakebed_us_cse,test,1,25,0.3,0,0.0,0,0.0,25,0,0,0,0.0,0.0,1.0,1.0,0.0,,0.004947599638112057
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,wqp,wqp,test,1,4673,0.3,852,0.18232398887224482,749,0.16028247378557672,3577,244,347,505,0.6742323097463284,0.5927230046948356,0.93614237110704,0.7772742100744814,0.6799059582572154,0.910303573161906,0.10090389964746956
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,overall,all,all,test,2,11891,0.3180428134556575,1544,0.1298461020940207,729,0.06130687074257842,10165,182,997,547,0.7503429355281207,0.3542746113989637,0.9824103604909635,0.713243989967101,0.6366153569396331,0.915957780558656,0.08298395145874995
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,aquamatch_chla,aquamatch_chla,test,2,7154,0.3180428134556575,680,0.09505171931786413,329,0.04598825831702544,6403,71,422,258,0.78419452887538,0.37941176470588234,0.9890330552981156,0.7371634833829916,0.6553697388976193,0.9237595177088443,0.06277516300753068
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,lakebed_us_cse,lakebed_us_cse,test,2,27,0.3180428134556575,1,0.037037037037037035,0,0.0,26,0,1,0,0.0,0.0,1.0,0.49056603773584906,0.05,0.2692307692307693,0.04190338811203533
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,wqp,wqp,test,2,4710,0.3180428134556575,863,0.18322717622080678,400,0.08492569002123142,3736,111,574,289,0.7225,0.3348783314020857,0.9711463478034832,0.6868317930448674,0.6421352648903967,0.8969325242073627,0.11391449239089096
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,overall,all,all,test,3,11939,0.3,1594,0.13351201943211324,620,0.051930647457911046,10184,161,1135,459,0.7403225806451613,0.28795483061480553,0.9844369260512325,0.6774056994631985,0.6105888784992182,0.9066479966864627,0.08994795616503319
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,aquamatch_chla,aquamatch_chla,test,3,7154,0.3,708,0.09896561364271736,300,0.04193458205199888,6382,64,472,236,0.7866666666666666,0.3333333333333333,0.990071362085014,0.7139766081871345,0.628009902055175,0.9200114905052141,0.06833817201668473
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,lakebed_us_cse,lakebed_us_cse,test,3,28,0.3,3,0.10714285714285714,0,0.0,25,0,3,0,0.0,0.0,1.0,0.4716981132075472,0.08584715937657114,0.18666666666666665,0.10453468324756225
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,wqp,wqp,test,3,4757,0.3,883,0.18562118982552028,320,0.06726928736598696,3777,97,660,223,0.696875,0.25254813137032844,0.9749612803304079,0.6398278558606891,0.6150755619499795,0.8851605879660026,0.12236081457137629
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,overall,all,all,test,1,13327,0.5,4444,0.33345839273654987,4172,0.3130486981316125,8189,694,966,3478,0.8336529242569511,0.7826282628262826,0.9218732410221772,0.8576536246650653,0.8894117101944761,0.9350853651727887,0.09129972723371726
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,aquamatch_chla,aquamatch_chla,test,1,7154,0.5,1647,0.23022085546547386,1512,0.21135029354207435,5162,345,480,1167,0.7718253968253969,0.7085610200364298,0.937352460504812,0.8324218687778948,0.8235199797583035,0.9250255429172278,0.08468834394711437
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,lakebed_us_cse,lakebed_us_cse,test,1,28,0.5,5,0.17857142857142858,2,0.07142857142857142,23,0,3,2,1.0,0.4,1.0,0.7551020408163265,0.6263888888888889,0.8217391304347826,0.10595485142299108
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,wqp,wqp,test,1,6145,0.5,2792,0.45435313262815297,2658,0.432546786004882,3004,349,483,2309,0.8686982693754702,0.8270057306590258,0.8959141067700567,0.8628510113203498,0.9274028607067194,0.936578520539704,0.09892991316619203
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,overall,all,all,test,2,13327,0.5,4616,0.34636452314849553,3991,0.2994672469422976,8064,647,1272,3344,0.8378852417940366,0.7244367417677643,0.9257260934450694,0.8353542399897447,0.8768913915820358,0.9238805191030206,0.10379253418078666
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,aquamatch_chla,aquamatch_chla,test,2,7154,0.5,1727,0.24140341067934024,1404,0.19625384400335477,5122,305,628,1099,0.7827635327635327,0.6363636363636364,0.9437995209139488,0.8092685717038746,0.8127063199718544,0.916117956188305,0.09213464154122694
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,lakebed_us_cse,lakebed_us_cse,test,2,28,0.5,6,0.21428571428571427,3,0.10714285714285714,22,0,3,3,1.0,0.5,1.0,0.801418439716312,0.7863247863247863,0.8484848484848485,0.10708400181361608
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,wqp,wqp,test,2,6145,0.5,2883,0.4691619202603743,2584,0.42050447518307565,2920,342,641,2242,0.8676470588235294,0.7776621574748526,0.8951563458001226,0.8380611839129322,0.9165170822338486,0.9225913210764469,0.11734963798057364
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,overall,all,all,test,3,13327,0.5,4750,0.35641929916710435,3844,0.28843700757859986,7988,589,1495,3255,0.8467741935483871,0.6852631578947368,0.931327970152734,0.8210560511067625,0.8702172439900886,0.919088995661592,0.11228176554029179
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,aquamatch_chla,aquamatch_chla,test,3,7154,0.5,1805,0.2523064020128599,1372,0.1917808219178082,5058,291,724,1081,0.7879008746355685,0.5988919667590028,0.9455973079080202,0.7946647172948524,0.8044579047969151,0.9131611314202204,0.09863722334369321
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,lakebed_us_cse,lakebed_us_cse,test,3,28,0.5,7,0.25,5,0.17857142857142858,20,1,3,4,0.8,0.5714285714285714,0.9523809523809523,0.7878787878787878,0.760248836376656,0.782312925170068,0.12897818429129465
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,irc_alert,source,wqp,wqp,test,3,6145,0.5,2938,0.4781122864117168,2467,0.4014646053702197,2910,297,768,2170,0.8796108633968382,0.7385976855003403,0.9073900841908326,0.8241380630780424,0.9161142607172355,0.9207123393920251,0.12809064351416294
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,overall,all,all,test,1,11852,0.3,1473,0.12428282146473169,0,0.0,10379,0,1473,0,0.0,0.0,1.0,0.4668705861184832,0.11365910094214729,0.42879313920930345,0.11802173184170506
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,aquamatch_chla,aquamatch_chla,test,1,7154,0.3,621,0.08680458484763769,0,0.0,6533,0,621,0,0.0,0.0,1.0,0.4773142397895814,0.08014942470022307,0.46830102985141947,0.08249742867219745
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,lakebed_us_cse,lakebed_us_cse,test,1,25,0.3,0,0.0,0,0.0,25,0,0,0,0.0,0.0,1.0,1.0,0.0,,0.0006678996528531048
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,source,wqp,wqp,test,1,4673,0.3,852,0.18232398887224482,0,0.0,3821,0,852,0,0.0,0.0,1.0,0.4498469507887921,0.1804030502948676,0.4793631807419585,0.1730345096459804
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,True,pipe_grud_rollout_backtest_v0,bloom_h,overall,all,all,test,2,11891,0.3180428134556575,1544,0.1298461020940207,0,0.0,10347,0,1544,0,0.0,0.0,1.0,0.465284647899991,0.12348932927529035,0.44389421528905526,0.11872869692861385
