epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.3153105403769225,-1.4719368007193516,0.14540346469653662,0.08511926192627778,0.9647768839268497,balanced,1.1693284659995697,-1.4719368007193516,0.9647768839268497
2,-2.2450337772762827,-1.4419865218709629,0.13045127304965964,0.07785535995206297,0.8741241964790636,balanced,0.9774366760029807,-1.4419865218709629,0.8741241964790636
3,-2.539559294461589,-1.5200176122650317,0.12461833650177241,0.07438578294825669,0.8351057450813295,balanced,0.9758497309994709,-1.5200176122650317,0.8351057450813295
4,-2.6625254911158343,-1.692076529094536,0.1237771301191609,0.07487809486471189,0.8351833825344763,balanced,0.9778901169993333,-1.5200176122650317,0.8351057450813295
5,-2.731994423222264,-1.6834489140306461,0.12349933403859782,0.07479856365680643,0.8338176638060919,balanced,1.051805738999974,-1.6834489140306461,0.8338176638060919
6,-2.785715333796654,-1.6278250589598402,0.12292971107536615,0.07431586108197448,0.8291804369825504,balanced,1.0436776139977155,-1.6278250589598402,0.8291804369825504
7,-2.8183392544306574,-1.4066451398611304,0.12278146488833211,0.07429642104078676,0.8285838068093583,balanced,1.0198170520015992,-1.4066451398611304,0.8285838068093583
8,-2.8190602835903404,-1.6647335807050179,0.12264621450564969,0.07464241416061648,0.8301297564859936,balanced,1.0271268329997838,-1.4066451398611304,0.8285838068093583
9,-2.911138037447295,-1.6798563904808745,0.12223682839169417,0.07451071121511126,0.8280337872818966,balanced,1.0316009119997034,-1.6798563904808745,0.8280337872818966
10,-2.900388047238758,-1.6938183627604833,0.12182726915265668,0.07439517069243869,0.8260301339710775,balanced,1.0327644659992075,-1.6938183627604833,0.8260301339710775
11,-2.9019234699069676,-1.5812052557538805,0.12168415880812655,0.07455256319400033,0.8264665240575013,balanced,1.0362486699996225,-1.6938183627604833,0.8260301339710775
12,-2.938219364647379,-1.825522454011607,0.1207308567151731,0.07427007848778512,0.8217248973564084,balanced,1.026734946997749,-1.825522454011607,0.8217248973564084
13,-2.8716775063780706,-1.852654029595884,0.12146731060223612,0.07383005308933902,0.8216050953408937,balanced,1.0187930270003562,-1.852654029595884,0.8216050953408937
14,-3.034867516222812,-1.8315310928508006,0.12106620704185139,0.07405384686600515,0.821579186268387,balanced,1.0409635930009244,-1.8315310928508006,0.821579186268387
15,-3.036049110738714,-1.919020542874143,0.12040656396556594,0.07381927438861609,0.8180734579465647,balanced,1.0500415810020058,-1.919020542874143,0.8180734579465647
16,-3.0484962188223474,-1.949387215375732,0.11993291408231335,0.07363087231590737,0.81544144398199,balanced,1.0296888119992218,-1.949387215375732,0.81544144398199
17,-3.0794800823271364,-1.970191039613351,0.12003421185853529,0.07370370919743618,0.8161913671234384,balanced,1.019484142998408,-1.949387215375732,0.81544144398199
18,-3.087316226179127,-1.995463289940386,0.1195268868395753,0.07345477400553382,0.8131013304131482,balanced,1.0403963009994186,-1.995463289940386,0.8131013304131482
