hypothesis_id,hypothesis_text,decisive_experiments,estimand,population,model_or_pair,availability_state,attempted_denominator,successful_denominator,metric,estimate,uncertainty,multiplicity_family,verdict,limitation_code,evidence_paths,authority_commit
H4:ablate_temperature:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_temperature:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_temperature:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_temperature:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_temperature:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_temperature:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_temperature:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_temperature:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_temperature:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_temperature:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_1m_10:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_1m_10:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_3m_10:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_3m_10:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:block_6m_25:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:block_6m_25:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_moderate:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_moderate:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:combined_severe:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:combined_severe:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:control:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:control:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_10:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_10:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_25:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_25:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_50:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_50:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
